,#,Name,ID,Type,Std. Conc,RT,Area,IS Area,Response,Primary Flags,ng/mL,%Dev,S/N,%Rec,Sample number,Acq.Time,Acq.Date
1,1,VAL_18AGO2020_027,P-1733_PCA 1,QC,7760.615,1.04,105495,4715,22.3765,bb,7407.143,-4.55,7681,95.45,,14:56:25,18/Ago/2020
2,2,VAL_18AGO2020_028,P-1733_PCA 2,QC,7760.615,1.04,121069,5054,23.9567,bb,7930.431,2.19,8220,102.19,,14:59:15,18/Ago/2020
3,3,VAL_18AGO2020_029,P-1733_PCA 3,QC,7760.615,1.04,119683,5085,23.5341,bb,7790.498,0.39,8158,100.39,,15:02:04,18/Ago/2020
4,4,VAL_18AGO2020_030,P-1733_PCB 1,QC,61.386,1.04,1021,5688,0.1796,bb,56.79,-7.49,375,92.51,,15:04:54,18/Ago/2020
5,5,VAL_18AGO2020_031,P-1733_PCB 2,QC,61.386,1.04,1047,5483,0.191,bb,60.574,-1.32,755,98.68,,15:07:43,18/Ago/2020
6,6,VAL_18AGO2020_032,P-1733_PCB 3,QC,61.386,1.04,1087,5670,0.1917,bb,60.809,-0.94,501,99.06,,15:10:33,18/Ago/2020
7,7,VAL_18AGO2020_033,P-1734_PCA 1,QC,7760.615,1.04,125917,5410,23.2737,bb,7704.262,-0.73,34493,99.27,,15:13:23,18/Ago/2020
8,8,VAL_18AGO2020_034,P-1734_PCA 2,QC,7760.615,1.04,126934,5471,23.2027,bb,7680.725,-1.03,8523,98.97,,15:16:13,18/Ago/2020
9,9,VAL_18AGO2020_035,P-1734_PCA 3,QC,7760.615,1.04,118080,5112,23.0985,bb,7646.237,-1.47,5998,98.53,,15:19:02,18/Ago/2020
10,10,VAL_18AGO2020_036,P-1734_PCB 1,QC,61.386,1.04,1140,5731,0.1989,bb,63.194,2.94,193,102.94,,15:21:52,18/Ago/2020
11,11,VAL_18AGO2020_037,P-1734_PCB 2,QC,61.386,1.04,910,4844,0.1878,bb,59.518,-3.04,786,96.96,,15:24:42,18/Ago/2020
12,12,VAL_18AGO2020_038,P-1734_PCB 3,QC,61.386,1.04,1118,5790,0.193,bb,61.248,-0.22,1417,99.78,,15:27:31,18/Ago/2020
13,13,VAL_18AGO2020_039,P-1735_PCA 1,QC,7760.615,1.04,124439,5366,23.1914,bb,7676.985,-1.08,12517,98.92,,15:30:21,18/Ago/2020
14,14,VAL_18AGO2020_040,P-1735_PCA 2,QC,7760.615,1.04,157530,6755,23.322,bb,7720.249,-0.52,21695,99.48,,15:33:11,18/Ago/2020
15,15,VAL_18AGO2020_041,P-1735_PCA 3,QC,7760.615,1.04,128335,5502,23.3247,bb,7721.153,-0.51,13731,99.49,,15:36:01,18/Ago/2020
16,16,VAL_18AGO2020_042,P-1735_PCB 1,QC,61.386,1.04,1162,6041,0.1923,bb,60.995,-0.64,508,99.36,,15:38:51,18/Ago/2020
17,17,VAL_18AGO2020_043,P-1735_PCB 2,QC,61.386,1.04,1197,6243,0.1917,bb,60.788,-0.97,822,99.03,,15:41:40,18/Ago/2020
18,18,VAL_18AGO2020_044,P-1735_PCB 3,QC,61.386,1.04,1190,6590,0.1806,bb,57.137,-6.92,324,93.08,,15:44:30,18/Ago/2020
19,19,VAL_18AGO2020_045,P-1736_PCA 1,QC,7760.615,1.04,123945,5230,23.6983,bb,7844.858,1.09,6402,101.09,,15:47:20,18/Ago/2020
20,20,VAL_18AGO2020_046,P-1736_PCA 2,QC,7760.615,1.04,120717,5057,23.8713,bb,7902.138,1.82,27767,101.82,,15:50:10,18/Ago/2020
21,21,VAL_18AGO2020_047,P-1736_PCA 3,QC,7760.615,1.04,120695,5258,22.9526,bb,7597.915,-2.1,48941,97.9,,15:53:00,18/Ago/2020
22,22,VAL_18AGO2020_048,P-1736_PCB 1,QC,61.386,1.04,1046,5707,0.1832,bb,58.002,-5.51,472,94.49,,15:55:50,18/Ago/2020
23,23,VAL_18AGO2020_049,P-1736_PCB 2,QC,61.386,1.04,1100,5788,0.1901,bb,60.268,-1.82,657,98.18,,15:58:39,18-Aug-20
24,24,VAL_18AGO2020_050,P-1736_PCB 3,QC,61.386,1.04,1081,5586,0.1936,bb,61.42,0.06,286,100.06,,16:01:29,18-Aug-20
25,25,VAL_18AGO2020_051,P-1737_PCA 1,QC,7760.615,1.04,114823,5051,22.7316,bb,7524.729,-3.04,10933,96.96,,16:04:19,18-Aug-20
26,26,VAL_18AGO2020_052,P-1737_PCA 2,QC,7760.615,1.04,119608,5063,23.6249,bb,7820.548,0.77,15021,100.77,,16:07:08,18-Aug-20
27,27,VAL_18AGO2020_053,P-1737_PCA 3,QC,7760.615,1.04,116168,5088,22.8314,bb,7557.797,-2.61,23930,97.39,,16:09:58,18-Aug-20
28,28,VAL_18AGO2020_054,P-1737_PCB 1,QC,61.386,1.04,1033,5415,0.1908,bb,60.512,-1.42,228,98.58,,16:12:48,18-Aug-20
29,29,VAL_18AGO2020_055,P-1737_PCB 2,QC,61.386,1.04,1024,5258,0.1948,bb,61.843,0.75,911,100.75,,16:15:38,18-Aug-20
30,30,VAL_18AGO2020_056,P-1737_PCB 3,QC,61.386,1.04,1028,5453,0.1884,bb,59.723,-2.71,868,97.29,,16:18:27,18-Aug-20
31,31,VAL_18AGO2020_057,P-1739_PCA 1,QC,7760.615,1.04,117554,5013,23.4518,bb,7763.232,0.03,9437,100.03,,16:21:17,18-Aug-20
32,32,VAL_18AGO2020_058,P-1739_PCA 2,QC,7760.615,1.04,119565,5141,23.2576,bb,7698.913,-0.8,12527,99.2,,16:24:07,18-Aug-20
33,33,VAL_18AGO2020_059,P-1739_PCA 3,QC,7760.615,1.04,121694,5038,24.1557,bb,7996.317,3.04,9837,103.04,,16:26:57,18-Aug-20
34,34,VAL_18AGO2020_060,P-1739_PCB 1,QC,61.386,1.04,1018,5705,0.1785,bb,56.444,-8.05,407,91.95,,16:29:46,18-Aug-20
35,35,VAL_18AGO2020_061,P-1739_PCB 2,QC,61.386,1.04,1078,5691,0.1894,bb,60.039,-2.19,315,97.81,,16:32:36,18-Aug-20
36,36,VAL_18AGO2020_062,P-1739_PCB 3,QC,61.386,1.04,1094,5749,0.1903,bb,60.326,-1.73,969,98.27,,16:35:26,18-Aug-20
