,#,Name,ID,Type,Std. Conc,RT,Area,IS Area,Response,Primary Flags,ng/mL,%Dev,S/N,%Rec,Sample number,Acq.Time,Acq.Date
1,1,VAL_24AGO2020_008,STD Blk,Blank,,0.99,1,1,1.8477,bb,662.682,,1,,,17:36:21,24/Ago/2020
2,2,VAL_24AGO2020_009,STD Zero,Blank,,,,5841,,,,,,,,17:39:27,24-Aug-20
3,3,VAL_24AGO2020_010,STD 1,Standard,20.497,1.03,348,6021,0.0577,bb,20.083,-2.02,3974,97.98,,17:42:16,24-Aug-20
4,4,VAL_24AGO2020_011,STD 2,Standard,40.994,1.03,746,6193,0.1205,bb,42.621,3.97,1427,103.97,,17:45:06,24-Aug-20
5,5,VAL_24AGO2020_012,STD 3,Standard,512.42,1.04,9239,6355,1.4538,bb,521.249,1.72,3949,101.72,,17:47:56,24-Aug-20
6,6,VAL_24AGO2020_013,STD 4,Standard,1024.84,1.04,18102,6452,2.8055,bb,1006.533,-1.79,7628,98.21,,17:50:45,24-Aug-20
7,7,VAL_24AGO2020_014,STD 5,Standard,2562.099,1.04,44412,6148,7.2238,bb,2592.689,1.19,11290,101.19,,17:53:35,24-Aug-20
8,8,VAL_24AGO2020_015,STD 6,Standard,5124.198,1.04,87917,6194,14.1947,bb,5095.244,-0.57,5429,99.43,,17:56:25,24-Aug-20
9,9,VAL_24AGO2020_016,STD 7,Standard,8198.717,1.03,134436,5800,23.1768,bb,8319.823,1.48,6874,101.48,,17:59:15,24-Aug-20
10,10,VAL_24AGO2020_017,STD 8,Standard,10248.396,1.04,154575,5639,27.4096,bb,9839.377,-3.99,10166,96.01,,18:02:04,24-Aug-20
11,11,VAL_24AGO2020_018,PCA 1,QC,7760.615,1.04,127306,5845,21.7786,bb,7817.844,0.74,11024,100.74,1,18:04:54,24/Ago/2020
12,12,VAL_24AGO2020_019,PCA 2,QC,7760.615,1.04,129452,6165,20.9986,bb,7537.837,-2.87,3801,97.13,,18:07:44,24-Aug-20
13,13,VAL_24AGO2020_020,PCA 3,QC,7760.615,1.04,127689,6065,21.0521,bb,7557.053,-2.62,3573,97.38,,18:10:34,24-Aug-20
14,14,VAL_24AGO2020_021,PCA 4,QC,7760.615,1.03,127305,6053,21.0303,bb,7549.219,-2.72,9287,97.28,,18:13:23,24-Aug-20
15,15,VAL_24AGO2020_022,PCA 5,QC,7760.615,1.04,127492,5996,21.2624,bb,7632.528,-1.65,9259,98.35,,18:16:14,24-Aug-20
16,16,VAL_24AGO2020_023,PCA 6,QC,7760.615,1.04,126968,6045,21.0044,bb,7539.935,-2.84,4239,97.16,,18:19:02,24-Aug-20
17,17,VAL_24AGO2020_024,PCM 1,QC,4384.747,1.04,72746,6002,12.1196,bb,4350.285,-0.79,2535,99.21,,18:21:53,24-Aug-20
18,18,VAL_24AGO2020_025,PCM 2,QC,4384.747,1.04,73646,6265,11.7555,bb,4219.573,-3.77,3803,96.23,,18:24:42,24-Aug-20
19,19,VAL_24AGO2020_026,PCM 3,QC,4384.747,1.04,75432,6385,11.8131,bb,4240.255,-3.3,9589,96.7,,18:27:32,24-Aug-20
20,20,VAL_24AGO2020_027,PCM 4,QC,4384.747,1.04,79965,6782,11.7914,bb,4232.445,-3.47,4267,96.53,,18:30:21,24-Aug-20
21,21,VAL_24AGO2020_028,PCM 5,QC,4384.747,1.04,74796,6253,11.962,bb,4293.718,-2.08,11503,97.92,,18:33:11,24-Aug-20
22,22,VAL_24AGO2020_029,PCM 6,QC,4384.747,1.04,74558,6334,11.7703,bb,4224.878,-3.65,4249,96.35,,18:36:01,24-Aug-20
23,23,VAL_24AGO2020_030,PCB 1,QC,61.386,1.04,1093,6277,0.1742,bb,61.873,0.79,650,100.79,,18:38:51,24-Aug-20
24,24,VAL_24AGO2020_031,PCB 2,QC,61.386,1.04,1131,6977,0.1622,bb,57.568,-6.22,782,93.78,,18:41:40,24-Aug-20
25,25,VAL_24AGO2020_032,PCB 3,QC,61.386,1.04,1088,6788,0.1602,bb,56.867,-7.36,807,92.64,,18:44:30,24-Aug-20
26,26,VAL_24AGO2020_033,PCB 4,QC,61.386,1.04,1121,6712,0.167,bb,59.308,-3.39,874,96.61,,18:47:20,24-Aug-20
27,27,VAL_24AGO2020_034,PCB 5,QC,61.386,1.04,1049,6434,0.1631,bb,57.890,-5.7,1518,94.3,,18:50:09,24-Aug-20
28,28,VAL_24AGO2020_035,PCB 6,QC,61.386,1.04,1123,6733,0.1667,bb,59.214,-3.54,768,96.46,,18:52:59,24-Aug-20
29,29,VAL_24AGO2020_036,PCA 1,QC,7760.615,1.04,126277,5954,21.21,bb,7613.721,-1.89,4937,98.11,2,18:55:49,24-Aug-20
30,30,VAL_24AGO2020_037,PCA 2,QC,7760.615,1.04,123869,5864,21.1246,bb,7583.054,-2.29,7325,97.71,,18:58:38,24-Aug-20
31,31,VAL_24AGO2020_038,PCA 3,QC,7760.615,1.04,126823,5934,21.3712,bb,7671.605,-1.15,6391,98.85,,19:01:28,24-Aug-20
32,32,VAL_24AGO2020_039,PCA 4,QC,7760.615,1.04,124342,5989,20.7618,bb,7452.823,-3.97,6535,96.03,,19:04:18,24-Aug-20
33,33,VAL_24AGO2020_040,PCA 5,QC,7760.615,1.04,132775,6254,21.2305,bb,7621.084,-1.8,16400,98.2,,19:07:08,24-Aug-20
34,34,VAL_24AGO2020_041,PCA 6,QC,7760.615,1.04,125994,6018,20.9353,bb,7515.092,-3.16,4649,96.84,,19:09:57,24-Aug-20
35,35,VAL_24AGO2020_042,PCM 1,QC,4384.747,1.04,72315,6264,11.5441,bb,4143.687,-5.5,7392,94.5,,19:12:47,24-Aug-20
36,36,VAL_24AGO2020_043,PCM 2,QC,4384.747,1.04,73098,6215,11.7619,bb,4221.880,-3.71,5716,96.29,,19:15:37,24-Aug-20
37,37,VAL_24AGO2020_044,PCM 3,QC,4384.747,1.04,73411,6184,11.8714,bb,4261.175,-2.82,5417,97.18,,19:18:26,24-Aug-20
38,38,VAL_24AGO2020_045,PCM 4,QC,4384.747,1.04,69511,5919,11.7434,bb,4215.242,-3.87,12698,96.13,,19:21:16,24-Aug-20
39,39,VAL_24AGO2020_046,PCM 5,QC,4384.747,1.04,72800,6150,11.8382,bb,4249.269,-3.09,9012,96.91,,19:24:05,24-Aug-20
40,40,VAL_24AGO2020_047,PCM 6,QC,4384.747,1.04,73952,6179,11.9682,bb,4295.934,-2.03,7422,97.97,,19:26:55,24-Aug-20
41,41,VAL_24AGO2020_048,PCB 1,QC,61.386,1.04,1100,6783,0.1622,bb,57.589,-6.19,735,93.81,,19:29:45,24-Aug-20
42,42,VAL_24AGO2020_049,PCB 2,QC,61.386,1.04,1047,6658,0.1573,bb,55.816,-9.07,640,90.93,,19:32:35,24-Aug-20
43,43,VAL_24AGO2020_050,PCB 3,QC,61.386,1.04,986,5906,0.1669,bb,59.288,-3.42,353,96.58,,19:35:24,24-Aug-20
44,44,VAL_24AGO2020_051,PCB 4,QC,61.386,1.04,1047,6712,0.156,bb,55.360,-9.82,375,90.18,,19:38:14,24-Aug-20
45,45,VAL_24AGO2020_052,PCB 5,QC,61.386,1.04,1063,6612,0.1607,bb,57.048,-7.07,1757,92.93,,19:41:04,24-Aug-20
46,46,VAL_24AGO2020_053,PCB 6,QC,61.386,1.04,1188,7534,0.1577,bb,55.975,-8.81,836,91.19,,19:43:54,24-Aug-20
47,47,VAL_24AGO2020_054,PCA 1,QC,7760.615,1.04,125863,6021,20.9023,bb,7503.252,-3.32,4290,96.68,3,19:46:44,24-Aug-20
48,48,VAL_24AGO2020_055,PCA 2,QC,7760.615,1.04,122282,5983,20.4383,bb,7336.697,-5.46,6753,94.54,,19:49:33,24-Aug-20
49,49,VAL_24AGO2020_056,PCA 3,QC,7760.615,1.03,115662,5680,20.3621,bb,7309.332,-5.82,7971,94.18,,19:52:23,24-Aug-20
50,50,VAL_24AGO2020_057,PCA 4,QC,7760.615,1.03,124913,5954,20.9805,bb,7531.347,-2.95,7599,97.05,,19:55:12,24-Aug-20
51,51,VAL_24AGO2020_058,PCA 5,QC,7760.615,1.04,122038,5946,20.5234,bb,7367.243,-5.07,16617,94.93,,19:58:02,24-Aug-20
52,52,VAL_24AGO2020_059,PCA 6,QC,7760.615,1.03,119877,5941,20.1774,bb,7243.025,-6.67,12457,93.33,,20:00:51,24-Aug-20
53,53,VAL_24AGO2020_060,PCM 1,QC,4384.747,1.04,71054,6118,11.6131,bb,4168.435,-4.93,5193,95.07,,20:03:41,24-Aug-20
